#,,,,,,,
NYC/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Lumen,BBGP8968,"New York, NY",Washington D.C,
NYC/CTUSA-WDC/CTUSA 64V4C002(W),10,STM64,Lumen,BBXM1480,"New York, NY","Ashburn, VA",
NYC/CTUSA-WDC/CTUSA 64V4C002(P),10,STM64,Zayo,OQYX/156264//ZYO,"New York, NY","Ashburn, VA",Temp: WDC-NYC OTN100G-2(IOTNhw)
NYC/CTUSA-SJC/CTUSA 64V4C002*TD(NYK/CTUSA-SJC/CTUSA 64V4C001),10,10GE,Lumen,10GWAN-17192470-DIV,"San Jose, CA","New York, NY",
NYK/CTUSA-SJC/CTUSA GE100L001*TD,100,100GE,ZAYO,OQYX/299512//ZYO,"New York, NY","San Jose, CA",
NYC/CTUSA-CHI/CTUSA 64V4C001,10,STM64,Lumen,BCVF9702,"New York, NY","Chicago, IL",
NYC/CTUSA-TORONTO/CTUSA 64V4C001*TD,10,10GE,Lumen,442364610,"New York, NY","TOR, ON",
,,,,,,,
MIA/CTUSA-SAN PAULO/CTUSA 64V4C001*TD,10,10GE,Sparkle,CTA001UMI2SP4NN,"Miami, FL","San Paulo, BR",
MIA/CTUSA-NYC/CTUSA 64V4C001*TD,10,STM64,Lumen,10GWAN-17192467,"Miami, FL","New York, NY",
MIA/CTUSA-SJC/CTUSA 64V4C001(W),10,STM64,Lumen,BBDN5795,"San Jose, CA","Miami, FL",
MIA/CTUSA-SJC/CTUSA 64V4C001(P),10,STM64,Lumen,BBDP1192,"San Jose, CA","Miami, FL",
MIA/CTUSA-SJC/CTUSA 64V4C002*TD,10,10GE,Lumen,10GWAN-17192390-DIV,"San Jose, CA","Miami, FL",
MIA/CTUSA-WDC/CTUSA 64V4C001(W),10,STM64,Lumen,BBDN6181,"Washington D.C.","Miami, FL",
MIA/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Lumen,BBFP5069,"Washington D.C.","Miami, FL",
MIA/CTUSA-WDC/CTUSA 64V4C002*TD(1),10,10GE,Lumen,10GWAN-17192466-DIV,"Miami, FL","Ashburn, VA",
MIA/CTUSA-WDC/CTUSA 64V4C002*TD(2),10,10GE,Lumen,10GWAN-17192465-DIV,"Miami, FL","Los Angeles, CA",
,,,,,,,
LAX/CTUSA-SJC/CTUSA 64V4C001(W),10,STM64,Lumen,BBDJ3657,"San Jose, CA","Los Angeles, CA",
